Formatted
ADA/USDT:USDT
ALGO/USDT:USDT
ATOM/USDT:USDT
BAL/USDT:USDT
BAND/USDT:USDT
BAT/USDT:USDT
BCH/USDT:USDT
BNB/USDT:USDT
BTC/USDT:USDT
COMP/USDT:USDT
CRV/USDT:USDT
DASH/USDT:USDT
DEFI/USDT:USDT
DOGE/USDT:USDT
DOT/USDT:USDT
EGLD/USDT:USDT
EOS/USDT:USDT
ETC/USDT:USDT
ETH/USDT:USDT
ICX/USDT:USDT
INJ/USDT:USDT
IOST/USDT:USDT
IOTA/USDT:USDT
KAVA/USDT:USDT
KNC/USDT:USDT
LINK/USDT:USDT
LTC/USDT:USDT
MKR/USDT:USDT
NEO/USDT:USDT
OMG/USDT:USDT
ONT/USDT:USDT
QTUM/USDT:USDT
RLC/USDT:USDT
RUNE/USDT:USDT
SNX/USDT:USDT
SOL/USDT:USDT
SUSHI/USDT:USDT
SXP/USDT:USDT
THETA/USDT:USDT
TRB/USDT:USDT
TRX/USDT:USDT
VET/USDT:USDT
WAVES/USDT:USDT
XLM/USDT:USDT
XRP/USDT:USDT
XTZ/USDT:USDT
YFI/USDT:USDT
ZEC/USDT:USDT
ZIL/USDT:USDT
ZRX/USDT:USDT
